■ 京橋クリニック 医療事務・看護師アンケート 課題×対策一覧	2026-06-22 / 04李牧	出典=260602_その他.pdf（事務3名+看護師3名・対応責任者 福井）
レーン凡例	菊池=患者導線(LINE/HP/マーケ)・経営翻訳	宮崎=技術(Stream Deck/電カル連携)	先生/福井=院内運営・ルール整備
区分	課題（現場の生の声）	主に困っている人	対策	担当レーン	LINE/HP軸★
A 受付・順番	アイコールで順番取っても受付時間内に来ず「番号取ったのに」と押し通す/注意書きを読まない患者が多い	事務A・B	順番が近づいたらLINEで自動プッシュ「あと◯人」「受付期限◯分前」。掲示でなく通知で届かせる	菊池	★最重要
A 受付・順番	待ち時間が延びると受付がクレームを受ける/診察の早さが日で違い患者に伝えても超過	事務A	LINEで当日の待ち人数・目安時間を自動配信。受付の口頭説明を肩代わり	菊池	★
B 通院離脱	CPAP患者が毎月来る同意のはずが来ない→月末最終日にまとめて会計→残業が大幅増	事務A	LINEで毎月の再診リマインドを自動配信。来院率UP=月末残業を削減（定量効果=成果報酬の根拠）	菊池	★最重要
C 周知不全	説明している/掲示してあるのに読まない・理解しない患者が多すぎる	事務A・B	紙掲示でなくLINEで図解・短文・動画を配信。読ませる導線に変える	菊池	★
D 本人確認	新患のマイナカード紙コピー運用が無駄（オンライン確認あるのに）/院長が企業情報目的で取得	事務C	来院前にLINE事前問診＋オンライン資格確認で本人確認。紙コピー廃止	菊池+宮崎	○一部
E HP導線	外来受付・化学物質過敏症の問い合わせがHPで「電話して」導線になっている	事務全般	HP改修で電話→LINE/Web完結へ。最終的にHPリプレイスでマーケ巻き取り	菊池	★本丸
F 入力二度手間	紙カルテに書いて電カルに写す二度手間/紹介状の二度手間/CT・XPの変換	事務A・看護師A	Stream Deck(ストリームボックス)＋電カル自動抽出・入力連携で一本化	宮崎	—
G 診療時間	外来終了が遅い(19時過ぎ)/先生の都合で診察時間がブレる	事務A	先生の診療オペ・予約枠設計の見直し（運用課題）	先生/福井	—
H 就業ルール	休憩・残業の取り決めで毎度「残る/先に入って」の合戦/災害時の出勤・休診ルールが無い/院内ルールが不明確	看護師A・B・事務B・C	就業ルール・災害時指標・院内ルールを明文化（ルール整備GIVEとして提示可）	福井	△整備GIVE
I 院内環境	診察室ベッド上の荷物・散らかりが患者に見える/院長のゴミ放置/報告相談なく進む	看護師A・C・事務A	整理整頓ルール・申し送りの仕組み（院内マネジメント）	先生/福井	—
■主要論点（LINEハーネスで潰す＝7/1の軽い提案）	A受付・順番 / B通院離脱 / C周知不全 / EHP導線	←残業の主因がここに集中。菊池しかできない患者導線レーン
