取引日,金額,摘要,勘定科目,税区分,備考
2026/02/02,-150000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/02/03,-150000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/02/09,-150000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/02/16,-150000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/02/17,-100000,SQ*HANIRO,荷造運賃,課税仕入10%,★訂正(仕入高→荷造運賃)/適格区分は橋本確認
2026/02/24,-144000,FrontierSpirit,支払手数料,課税仕入10%,★訂正(仕入高→支払手数料)/出品自動化年額/適格区分は橋本確認
2026/02/27,-487,PAYPAL *ARVO,新聞図書費,課税売上対応仕入10%,商品検索ツール課金/橋本指示④で課税売上対応仕入/適格区分要確認
2026/03/02,-150000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/03/04,-150000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/03/09,-150000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/03/22,-150000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/03/25,-150000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/03/25,-150000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/03/27,-498,PAYPAL *ARVO,新聞図書費,課税売上対応仕入10%,3月分計上済(橋本④の懸念は個人側は解消)
2026/04/02,-100000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/04/03,-100000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/04/07,-100000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/04/07,-150000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/04/10,-100000,SQ*HANIRO,荷造運賃,課税仕入10%,★訂正(仕入高→荷造運賃)/適格区分は橋本確認
2026/04/14,-150000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/04/23,-150000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/04/24,-150000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
2026/04/27,-498,PAYPAL *ARVO,新聞図書費,課税売上対応仕入10%,
2026/04/30,-150000,AMAZON.CO.JP,仕入高,課税仕入10%(適格),
