計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替
1,2026/05/30,カブシキガイシヤポピンズ,-16786,楽天カード,,,,0
1,2026/05/29,VISA国内利用 VS マイバスケツト,-1832,楽天カード,食費,食料品,,0
1,2026/05/25,VISA国内利用 VS イト-ヨ-カド- キハ,-2615,楽天カード,食費,食料品,,0
1,2026/05/24,VISA国内利用 VS マイバスケツト,-525,楽天カード,食費,食料品,,0
1,2026/05/24,西友,-3560,楽天カード,食費,食料品,,0
1,2026/05/24,西友 2 5012921145648 07658,-2803,楽天カード,食費,食料品,,0
1,2026/05/23,VISA国内利用 VS イト-ヨ-カド- キハ,-567,楽天カード,食費,食料品,,0
1,2026/05/23,VISA国内利用 VS ノジマ イト-ヨ-カド-キバ,-1130,楽天カード,日用品,,0
1,2026/05/22,VISA国内利用 VS マイバスケツト,-2021,楽天カード,食費,食料品,,0
1,2026/05/22,楽天24 ベビー館 ラクテンイチバ703018,-10700,楽天カード,日用品,,,0
1,2026/05/22,GU MODE楽天市場店 ラクテンイチバ705011,-5274,楽天カード,衣服,,,0
1,2026/05/20,VISA国内利用 VS マイバスケツト,-1779,楽天カード,食費,食料品,,0
1,2026/05/20,VISA国内利用 VS マイバスケツト,-4748,楽天カード,食費,食料品,,0
1,2026/05/17,VISA国内利用 VS マイバスケツト,-665,楽天カード,食費,食料品,,0
1,2026/05/16,楽天証券投信積立0．5％～,-99999,楽天カード,,,投信積立,1
1,2026/05/16,VISA国内利用 VS マイバスケツト,-387,楽天カード,食費,食料品,,0
1,2026/05/15,VISA国内利用 VS マイバスケツト,-440,楽天カード,食費,食料品,,0
1,2026/05/14,カブシキガイシヤポピンズ,-16786,楽天カード,,,,0
1,2026/05/14,VISA国内利用 VS セリア セイユウトウヨウチヨウテン,-330,楽天カード,日用品,,,0
1,2026/05/14,西友,-2287,楽天カード,食費,食料品,,0
1,2026/05/08,VISA国内利用 VS マイバスケツト,-1517,楽天カード,食費,食料品,,0
1,2026/05/06,西友,-2027,楽天カード,食費,食料品,,0
1,2026/05/01,VISA国内利用 VS ミルクコウボウボン デイア,-660,楽天カード,日用品,,,0
